32	0	0
34	1	1
10	2	0
11	2	1
20	2	0
25	3	0
34	4	1
11	5	1
4	6	0
36	7	0
37	7	1
4	8	0
27	8	1
30	8	0
6	9	1
23	10	1
24	10	0
39	10	0
22	11	1
30	11	1
15	12	0
26	12	0
6	13	1
30	14	0
38	14	1
10	15	1
28	15	1
8	16	0
22	16	0
25	17	0
27	18	1
30	19	0
36	20	0
0	21	0
10	21	0
27	22	0
35	23	0
0	24	0
15	24	0
18	24	0
27	24	0
10	25	1
26	25	0
39	26	0
4	27	0
17	27	0
39	27	1
11	28	0
27	28	0
24	29	1
8	30	0
14	31	1
26	32	0
0	33	0
36	33	0
11	34	1
13	34	0
34	34	0
10	35	1
26	35	0
12	36	0
37	36	0
19	37	0
6	38	0
30	38	0
12	39	0
27	40	0
29	40	0
25	41	0
30	42	0
24	43	0
10	44	1
22	44	0
0	45	0
16	45	0
24	45	0
0	46	0
12	46	1
25	47	0
39	47	0
0	48	1
30	49	0
0	50	0
4	50	1
4	51	1
0	52	1
10	52	0
35	52	0
26	53	0
26	54	1
10	55	1
12	55	0
22	55	1
27	56	1
38	57	1
10	58	0
11	59	1
26	59	0
11	60	1
27	60	0
36	60	1
2	61	0
27	62	1
2	63	1
38	64	1
39	64	1
11	65	0
20	65	0
19	66	0
28	66	0
36	66	0
39	66	0
24	67	1
18	68	1
36	68	1
39	69	0
15	70	0
27	71	0
34	71	1
5	72	0
30	72	0
0	73	0
2	73	0
26	74	1
5	75	0
37	75	0
17	76	1
13	77	0
38	77	1
6	78	1
27	78	0
30	78	0
30	79	0
2	80	1
11	80	1
31	80	1
0	81	1
6	81	0
10	81	0
11	81	0
37	81	0
39	81	0
5	82	0
6	83	0
15	83	1
10	84	0
0	85	0
2	86	0
20	86	0
36	86	1
37	86	0
18	87	0
37	87	1
4	88	0
30	88	0
15	89	1
4	90	0
11	91	0
39	91	1
17	92	1
39	92	1
17	93	0
0	94	1
10	94	0
13	94	0
30	94	0
8	95	1
35	95	1
4	96	1
0	97	0
4	97	0
24	97	1
37	97	0
39	97	0
18	98	0
0	99	0
18	100	0
4	101	0
5	101	0
10	101	0
30	101	0
37	101	0
11	102	0
35	102	0
37	102	0
22	103	0
27	103	1
39	103	0
26	104	0
34	104	1
0	105	1
30	105	1
8	106	1
0	107	1
32	108	1
4	109	0
15	109	0
30	109	0
4	110	0
5	111	0
17	111	0
37	111	0
0	112	1
0	113	1
25	113	0
4	114	1
6	114	0
30	114	0
37	114	1
39	115	0
11	116	0
2	117	0
35	117	0
0	118	1
10	118	1
11	118	1
34	118	1
29	119	0
34	120	1
2	121	0
6	122	0
11	122	0
22	123	1
39	124	1
2	125	0
26	125	0
4	126	1
35	127	1
4	128	0
27	128	1
31	128	0
34	129	1
39	129	1
38	130	0
4	131	1
11	131	0
5	132	0
10	132	0
11	132	0
24	132	0
0	133	1
3	133	0
4	133	0
12	133	0
15	133	0
26	133	0
28	133	0
26	134	0
27	134	0
38	135	0
37	136	0
18	137	0
11	138	0
21	138	0
31	138	0
0	139	0
35	139	0
4	140	0
18	140	0
38	140	1
24	141	1
39	141	1
4	142	0
30	142	0
37	143	0
24	144	1
12	145	1
31	146	0
20	147	0
37	147	0
6	148	0
15	148	0
17	149	0
15	150	0
37	151	0
30	152	0
38	152	0
5	153	0
0	154	0
10	154	1
15	154	0
36	154	0
17	155	1
26	155	1
37	156	1
18	157	0
4	158	0
27	158	1
4	159	1
26	159	0
35	160	0
0	161	0
22	161	0
24	161	1
2	162	1
26	162	1
5	163	0
14	163	0
26	163	1
28	163	0
35	163	0
6	164	0
2	165	1
5	165	0
36	165	1
5	166	0
2	167	0
24	167	0
37	167	1
31	168	0
36	168	0
4	169	1
6	169	1
18	169	1
39	169	0
10	170	1
24	170	0
31	170	1
6	171	0
18	172	1
6	173	0
18	173	0
0	174	1
5	175	1
10	175	0
22	176	0
26	176	0
27	176	0
26	177	0
12	178	0
0	179	0
18	179	0
0	180	0
11	180	0
36	180	1
6	181	1
17	181	1
18	181	0
25	181	1
37	181	0
1	182	1
22	182	1
37	183	0
39	183	1
36	184	0
39	184	1
1	185	0
8	185	0
36	185	0
24	186	1
0	187	0
16	187	0
10	188	1
27	189	1
2	190	1
24	190	0
30	190	1
6	191	1
37	191	1
38	191	0
0	192	0
10	192	1
27	192	1
4	193	0
13	193	0
15	193	0
24	194	1
34	194	1
20	195	0
4	196	0
13	196	0
10	197	1
37	197	0
29	198	0
18	199	1
28	200	0
8	201	0
26	201	0
2	202	0
0	203	0
27	204	0
34	204	0
13	205	0
27	205	0
0	206	1
17	207	0
26	207	0
31	207	1
4	208	0
13	208	0
6	209	0
34	209	0
0	210	1
18	210	0
15	211	0
39	212	1
15	213	1
22	213	0
0	214	0
34	214	0
37	214	0
31	215	1
37	216	0
9	217	0
37	218	0
19	219	0
32	220	0
4	221	1
26	221	1
