0	1
1	1
2	0
3	0
4	0
5	0
6	0
7	1
8	1
9	0
10	1
11	1
12	0
13	0
14	1
15	1
16	0
17	0
18	1
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	1
29	0
30	1
31	0
32	0
33	1
34	0
35	1
36	1
37	1
38	1
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	1
50	0
51	1
52	0
53	1
54	0
55	1
56	1
57	1
58	1
59	1
60	0
61	1
62	0
63	0
64	0
65	1
66	1
67	1
68	0
69	0
70	0
71	1
72	0
73	1
74	0
75	0
76	0
77	0
78	0
79	1
80	0
81	0
82	1
83	1
84	1
85	0
86	1
87	1
88	0
89	1
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	1
100	0
101	0
102	0
103	0
104	0
105	0
106	1
107	1
108	0
109	0
110	0
111	1
112	0
113	1
114	0
115	0
116	0
117	1
118	0
119	1
120	1
121	1
122	1
123	1
124	0
125	1
126	1
127	0
128	0
129	0
130	0
131	0
132	1
133	1
134	1
135	1
136	1
137	0
138	0
139	0
140	1
141	1
142	1
143	0
144	0
145	0
146	1
147	0
148	1
149	0
150	1
151	0
152	0
153	0
154	1
155	1
156	1
157	0
158	1
159	0
160	0
161	0
162	0
163	1
164	0
165	0
166	1
167	1
168	0
169	0
170	0
171	1
172	0
173	0
174	0
175	0
176	1
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	1
189	0
190	1
191	1
192	0
193	0
194	0
195	1
196	0
197	1
198	0
199	0
200	0
201	0
202	0
203	0
204	1
205	0
206	1
207	1
208	0
209	0
210	0
211	1
212	0
213	0
214	1
215	0
216	0
217	1
218	0
219	0
220	0
221	0
222	0
223	1
224	1
225	1
226	0
227	0
228	1
229	1
230	1
231	1
232	0
233	1
234	0
235	1
236	0
237	0
238	0
239	1
240	1
241	0
242	1
243	0
244	0
245	0
246	0
247	1
248	1
249	0
250	1
251	1
252	0
253	1
254	0
255	0
256	1
257	1
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	1
267	1
268	0
269	0
270	0
271	0
272	0
273	1
274	1
275	0
276	1
277	1
278	1
279	1
280	0
281	1
282	1
283	1
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	1
296	1
297	0
298	0
299	0
300	1
301	0
302	1
303	1
304	1
305	1
306	1
307	0
308	1
309	0
310	1
311	0
312	0
313	1
314	1
315	1
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	1
325	0
326	0
327	1
328	0
329	0
330	1
331	0
332	0
333	0
334	0
335	1
336	0
337	0
338	0
339	1
340	1
341	0
342	0
343	1
344	0
345	1
346	1
347	1
348	0
349	1
350	0
351	1
352	0
353	1
354	0
355	1
356	1
357	1
358	0
359	1
360	0
361	0
362	0
363	1
364	1
365	0
366	0
367	0
368	0
369	1
370	0
371	0
372	0
373	0
374	1
375	0
376	0
377	1
378	1
379	1
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	1
393	1
394	0
395	0
396	0
397	0
398	0
399	1
400	1
401	1
402	1
403	1
404	1
405	1
406	0
407	0
408	0
409	1
410	1
411	0
412	1
413	1
414	0
415	0
416	1
417	0
418	0
419	0
420	1
421	0
422	0
423	0
424	0
425	0
426	0
427	1
428	0
429	0
430	1
431	0
432	1
433	1
434	1
